,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
59,LG,6,4.0,0,13900,Semi,Top,1300,5
60,MOTOROLA,7,4.1,2015,19990,Fully,Top,1000,5
62,LG,8,0.0,0,21990,Fully,Top,740,5
63,LG,7,4.4,17242,26990,Fully,Top,1200,5
64,BOSCH,8,4.4,8795,34900,Fully,Front,1400,5
65,Intex,7,4.3,15478,6990,Semi,Top,1300,0
68,SAMSUNG,7,4.4,24506,27990,Fully,Front,1000,5
69,Haier,8,4.2,284,29990,Fully,Front,1200,5
72,Whirlpool,6,4.4,13307,9090,Semi,Top,1400,5
73,BLACK,6,3.8,24,18990,Fully,Front,1000,5
74,LG,9,4.5,2910,16990,Fully,Top,1300,5
75,Voltas,7,4.3,2015,9190,Semi,Top,1300,0
76,Thomson,7,4.0,8785,7690,Semi,Top,1600,5
78,LG,8,4.4,17242,36990,Fully,Front,1200,5
79,LG,11,4.5,4133,19990,Fully,Top,1300,5
80,Thomson,9,4.0,1078,13990,Fully,Top,900,5
81,realme,7,4.2,51609,7890,Semi,Top,1400,5
82,Godrej,7,4.3,1879,10490,Semi,Top,1440,5
83,Whirlpool,11,4.4,13307,16990,Semi,Top,1400,5
84,Voltas,10,4.3,2902,13990,Semi,Top,1350,5
85,SAMSUNG,9,4.3,52837,23990,Fully,Top,700,5
86,Thomson,7,4.0,8785,7590,Semi,Top,1400,5
87,BOSCH,8,4.4,8786,35900,Fully,Front,1400,5
88,Haier,8,4.3,22257,17490,Fully,Top,800,5
89,Haier,8,4.1,573,17990,Fully,Top,800,5
90,realme,8,4.2,51609,9890,Semi,Top,1400,5
91,Thomson,10,4.0,8785,9799,Semi,Top,1600,0
92,Siemens,7,0.0,0,64999,Fully,Top,1400,5
93,IFB,7,4.1,290,21290,Fully,Top,720,5
94,IFB,6,4.2,12170,21990,Fully,Top,800,5
95,SAMSUNG,9,4.3,52837,27500,Fully,Top,700,5
98,IFB,8,4.3,75507,30990,Fully,Top,1200,5
102,Godrej,7,4.2,591,11290,Semi,Top,1400,0
103,ONIDA,9,4.2,26300,6490,Fully,Top,780,0
104,realme,8,4.2,51609,10190,Semi,Top,1400,5
105,BOSCH,7,4.4,8786,30990,Fully,Front,1000,5
108,LG,7,4.4,5443,12990,Fully,Top,1300,5
109,MOTOROLA,8,4.2,457,9890,Semi,Top,1350,5
112,Godrej,7,4.1,19,16490,Fully,Top,1440,5
113,LG,9,4.4,166,49990,Fully,Front,1200,0
114,Haier,7,4.3,815,9490,Semi,Top,1300,5
115,BOSCH,7,4.4,8786,30490,Fully,Front,1200,5
117,Sansui,7,4.2,15130,7890,Semi,Top,1300,5
118,Siemens,7,4.4,18,30990,Fully,Front,1000,0
119,LG,8,4.5,4133,16490,Semi,Top,1300,5
122,Voltas,7,4.3,2902,9590,Semi,Top,1350,5
123,FOXSKY,7,3.9,151,6990,Semi,Top,1300,5
124,LG,11,0.0,0,50890,Fully,Front,1400,5
125,Haier,10,4.6,36,14990,Semi,Top,1300,0
128,IFB,5,0.0,0,23990,Fully,Top,55,5
129,IFB,8,4.4,256,35990,Fully,Front,1200,5
132,SAMSUNG,6,4.4,94,24990,Fully,Front,1000,0
133,Godrej,8,4.2,306,14290,Semi,Top,1400,5
134,BOSCH,7,4.4,8795,26990,Fully,Front,1200,5
135,Lloyd,7,4.3,441,8890,Semi,Top,1400,5
138,Lloyd,8,4.3,2213,11490,Semi,Top,1300,5
139,Lloyd,9,4.5,204,15590,Semi,Top,1300,5
142,Whirlpool,9,3.9,10,14390,Semi,Top,1400,5
143,IFB,8,4.3,3041,30990,Fully,Top,1200,5
