,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
312,Lloyd,7,4.5,204,"₹12,793",Semi,Top,600,5
313,Voltas,14,4.2,81,"₹15,199",Semi,Top,1350,5
314,LG,10,4.3,40,"₹17,690",Semi,Top,1200,5
315,Whirlpool,6,4.4,"29,454","₹9,090",Semi,Top,1400,5
316,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
317,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
318,Thomson,10,4.3,115,"₹11,490",Semi,Top,1400,
319,Whirlpool,7,4.2,"1,476","₹18,990",Fully,Top,740,5
320,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
321,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
322,Voltas,7,4.3,"4,745","₹9,690",Semi,,1300,
323,ONIDA,7,4.3,547,"₹14,190",Fully,Top,750,5
324,LG,11,4.3,71,"₹34,990",Fully,Top,700,5
325,IFB,7,4.5,35,"₹25,233",Fully,Top,720,5
326,MOTOROLA,7,4.1,"2,015","₹19,990",,,1000,5
327,MOTOROLA,10,4.2,457,"₹10,990",Semi,Top,1350,5
328,BOSCH,9,4.4,"9,047","₹44,990",Fully,Front,1400,5
329,ONIDA,8,4.1,"2,072","₹10,290",Semi,Top,1450,5
330,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
331,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
332,Godrej,6,4.3,"8,616","₹14,790",Fully,Top,720,5
333,SAMSUNG,8,4.6,,"₹24,700",Fully,Top,700,5
334,Midea,7,4.2,"1,606","₹13,990",Fully,Top,680,5
335,SAMSUNG,7,4.4,213,"₹12,150",Semi,Top,1300,5
336,SAMSUNG,6,4.2,32,"₹35,000",Fully,Front,1200,5
337,Godrej,8,4.5,119,"₹13,190",Semi,Top,1440,5
338,Thomson,8,3.9,168,"₹14,990",Fully,Top,700,
339,BOSCH,7,4.3,"3,104","₹31,990",Fully,Front,1200,5
340,Midea,6,4,44,"₹7,290",Semi,Top,1350,
341,SAMSUNG,7,3.3,,"₹25,990",Fully,Top,700,
342,LG,7,4.5,424,"₹12,510",Semi,Top,1350,5
343,Whirlpool,9,4.3,"2,969","₹13,950",Semi,Top,1400,5
344,Godrej,9,4.3,"1,879","₹14,790",Semi,Top,1400,5
345,LG,8,,,"₹19,990",,,800,5
346,SAMSUNG,7,4.2,165,"₹16,390",Fully,Top,680,
347,SAMSUNG,10,4.4,"61,860","₹28,100",Fully,Top,700,5
348,Godrej,12,4.1,43,"₹16,990",Semi,Top,1440,5
349,SAMSUNG,10,4.3,"52,837","₹28,100",Fully,Top,700,5
350,Voltas,9,4.1,255,"₹20,979",,,700,5
351,Godrej,7,4.3,160,"₹20,399",Fully,Top,700,
352,SAMSUNG,8,3.3,,"₹27,100",Fully,Top,700,5
353,Godrej,7,4.1,20,"₹15,990",Fully,Top,670,5
354,SAMSUNG,8,4.2,241,"₹51,990",,,1400,
355,BOSCH,7,4.3,,"₹22,548",Fully,Top,680,
356,Whirlpool,7,,,"₹15,369",Fully,Top,740,5
357,SAMSUNG,7,4.4,"5,455","₹35,500",Fully,Front,1200,5
358,SAMSUNG,8,4.4,"5,455","₹36,700",Fully,Front,1400,5
359,White,10,4.1,598,"₹11,799",Semi,Top,1600,
360,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
361,Haier,7,4.3,"22,298","₹13,990",Fully,Top,800,5
362,SAMSUNG,10,4.4,"61,860","₹28,100",Fully,Top,700,5
363,IFB,9,,,"₹38,000",Fully,Top,720,5
364,Godrej,9,4.3,"1,879","₹14,790",Semi,Top,1400,5
365,LG,8,,,"₹19,990",,,800,5
366,Haier,8,4.3,"22,298","₹17,490",Fully,Top,800,5
367,Haier,8,4.2,284,"₹29,990",Fully,Front,1200,5
368,SAMSUNG,7,4.2,165,"₹16,390",Fully,Top,680,
369,SAMSUNG,8,4.2,241,"₹51,990",,,1400,
370,Haier,8,4.2,"1,362","₹11,490",Semi,Top,1300,5
371,Haier,10,4.6,36,"₹14,990",Semi,Top,1300,
372,LG,7,4.6,66,"₹39,390",Fully,Front,1200,5
373,Whirlpool,7,,,"₹15,369",Fully,Top,740,5
374,LG,7,4.5,424,"₹12,510",Semi,Top,1350,5
375,Godrej,7,4.1,20,"₹15,990",Fully,Top,670,5
376,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
377,Haier,8,4.2,284,"₹31,990",Fully,Front,1200,5
378,Godrej,8,4.4,570,,Semi,Top,1400,
379,Voltas,9,4.1,255,"₹20,979",,,700,5
380,Haier,8,4.3,815,"₹12,190",Semi,Top,1300,5
381,Haier,7,4.3,815,"₹9,490",Semi,Top,1300,5
382,Godrej,7,4.3,160,"₹20,399",Fully,Top,700,
383,IFB,6,4.3,"18,243","₹16,990",Fully,,720,5
384,Voltas,7,4.1,24,"₹11,619",Semi,Top,1300,5
385,LG,6,4.4,"2,975","₹20,690",Fully,Top,700,5
386,Thomson,7,4,"8,785","₹7,690",Semi,Top,1600,5
387,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
388,SAMSUNG,8,4.1,161,"₹26,000",Fully,Top,700,5
389,Whirlpool,6,4.4,31,"₹15,249",Fully,Top,740,5
390,realme,7,4.2,"51,609","₹7,890",Semi,Top,1400,5
391,Thomson,7,4,"8,785","₹7,590",Semi,Top,1400,5
392,SAMSUNG,8,,,"₹13,549",Semi,Top,1300,5
393,CANDY,7,4.2,807,"₹8,890",Semi,Top,1300,5
394,SAMSUNG,7,4.3,,"₹12,799",Semi,Top,1300,5
395,Haier,7,4.2,284,"₹27,990",Fully,Front,1200,5
396,BOSCH,8,4.4,"8,786","₹35,900",Fully,Front,1400,5
397,realme,8,4.2,"51,609","₹9,890",Semi,Top,1400,5
398,Lloyd,9,4.3,"2,213","₹14,890",Semi,Top,1350,5
399,Voltas,8,4.3,566,"₹11,990",Semi,Top,1300,5
400,Thomson,10,4,"8,785","₹9,799",Semi,Top,1600,
401,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
402,IFB,6,4.3,"24,415","₹19,790",Fully,,720,5
403,Godrej,7,,,"₹18,629",Fully,Top,0,5
404,LG,10,4.4,304,"₹30,999",Fully,Top,700,5
405,Godrej,8,4.3,693,"₹14,160",Semi,Top,1440,5
406,BOSCH,7,4.4,"8,786","₹30,990",Fully,Front,1000,5
407,Panasonic,6,4.3,"10,192","₹13,790",Fully,Top,680,5
408,LG,7,4.5,424,"₹12,785",Semi,Top,1350,5
409,SAMSUNG,8,4.4,42,"₹43,990",Fully,Front,1200,5
410,Thomson,7,4,"8,785","₹7,690",Semi,Top,1600,5
411,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
412,SAMSUNG,7,4,23,"₹17,800",Fully,Top,700,5
413,BOSCH,7,,,"₹35,900",Fully,Front,1200,
414,IFB,6,4.3,106,"₹30,590",Fully,,1000,5
415,BOSCH,10,4.3,29,"₹56,990",,,1400,
416,Thomson,9,4,"1,078","₹13,990",Fully,Top,900,5
417,realme,7,4.2,"51,609","₹7,890",Semi,Top,1400,5
418,IFB,7,,,"₹21,590",Fully,Top,720,5
419,Panasonic,8,,,"₹45,990",,,1400,
420,Thomson,7,4,"8,785","₹7,590",Semi,Top,1400,5
421,BOSCH,8,4.4,"8,786","₹35,900",Fully,Front,1400,5
422,Panasonic,6,4.3,"5,439","₹9,290",Semi,Top,1350,5
423,Haier,9,4.3,40,"₹16,469",Semi,Top,1300,
424,SAMSUNG,8,4.2,78,"₹14,250",Semi,Top,1300,5
425,SAMSUNG,11,4.3,54,"₹38,952",Fully,Top,700,5
426,realme,8,4.2,"51,609","₹9,890",Semi,Top,1400,5
427,Thomson,10,4,"8,785","₹9,799",Semi,Top,1600,
428,Lloyd,8,4.7,24,"₹13,949",Semi,Top,1300,5
429,LG,7,4.4,742,"₹13,500",Semi,Top,1300,5
430,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
431,BOSCH,7,4.4,"8,786","₹30,990",Fully,Front,1000,5
432,Lloyd,8,4.7,24,"₹13,949",Semi,Top,1300,5
433,Siemens,7,,,"₹32,549",Fully,Front,1200,5
434,BOSCH,10,4.4,30,"₹56,990",,,1400,
435,IFB,7,,,"₹21,590",Fully,Top,720,5
436,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
437,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
438,Haier,7,3.9,89,"₹13,990",Semi,Top,1300,
439,Sansui,6,3.7,84,"₹12,990",Fully,Top,700,5
440,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
441,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
442,Voltas,14,4.1,261,"₹14,720",Semi,Top,750,5
443,Godrej,7,4.3,"1,682","₹15,990",Fully,Top,720,5
444,SAMSUNG,9,4.4,721,"₹40,800",Fully,Front,1400,5
445,Whirlpool,7,4.3,111,"₹10,369",Semi,Top,1400,
446,realme,8,4.2,"51,785","₹9,890",Semi,Top,1400,5
447,Thomson,10,4,"8,834","₹9,799",Semi,Top,1600,
448,LG,6,4.4,153,"₹37,990",Fully,Front,1000,
